Hauptbuch,Endsaldo
230110   ,28956708.96999998
528010   ,1438.32
371400   ,106089.26
250400   ,106089.26
527010   ,467.2
371300   ,11182427.779999964
250300   ,11182427.779999964
526010   ,4.0
200000   ,269370481.4900048
799000   ,19735.15
250000   ,8147750.74000009
763000   ,92116.66999999984
607000   ,493531.99000000005
230010   ,94583998.00000006
500010   ,187698.14000000007
670000   ,33956.730000000025
780400   ,5615.869999999969
750000   ,6297.360000000001
672000   ,5787.84
776000   ,103128.13999999997
574000   ,1268625.72
741800   ,27310.659999999993
372997   ,2626029.9999999856
712000   ,38903.250000000095
731100   ,150856.0399999994
740000   ,54488.329999999994
99000    ,459698.8000000003
760100   ,34633.8
760400   ,400.0
781600   ,444308.3600000001
776200   ,30477.829999999987
771000   ,45445.13000000002
556600   ,657.22
741100   ,49641.409999999945
730000   ,192160.67
730100   ,27589.60999999996
752000   ,4720.03
780100   ,37089.46000000004
731200   ,580.0900000000001
538200   ,62476.21999999996
722300   ,2295.5
726000   ,244440.05
537010   ,18850.0
740500   ,2300.2700000000004
526000   ,12750.909999999998
731500   ,4596.459999999999
780000   ,326237.39000000013
725000   ,16855.80999999998
241000   ,136160321.21000007
743100   ,322788.0200000001
841500   ,117145.59000000003
741200   ,125910.86
537000   ,52825.80000000001
740200   ,2964.66
673000   ,26259.469999999998
571000   ,14405.329999999998
731600   ,1233.1600000000003
542000   ,139514.15000000002
315000   ,33128.31
568000   ,426521.13
741600   ,3215.21
311000   ,89970.32
731400   ,26642.460000000003
730010   ,344461.04999999946
500000   ,1109693.1300000001
741700   ,918.56
741000   ,12496.099999999999
546000   ,14778.130000000017
731000   ,4021.9700000000003
724100   ,4096.56
722000   ,40057.75
751000   ,10405.19999999998
290700   ,159152.00000000003
250200   ,1041.3300000000004
786100   ,35032.310000000005
240600   ,40657.06
787000   ,13461.329999999993
552000   ,418.43
628000   ,16364.429999999988
775000   ,21388.61
556200   ,469.0
706000   ,2794.54
473000   ,399.92999999999995
760000   ,890.82
710200   ,367.2
240100   ,85904.04
543000   ,668601.4000000007
727000   ,3093.5699999999997
629000   ,11295.260000000004
459200   ,251.20000000000002
730400   ,6857.570000000001
609000   ,8996.4
310700   ,22492.38
759000   ,24535.28
741300   ,38146.19
723100   ,1168.37
611000   ,22718.81
795300   ,800.0
780200   ,2081.510000000001
780500   ,20174.020000000008
538000   ,335720.7999999996
767000   ,22000.16
766000   ,6247.08
240300   ,1167.7400000000002
621400   ,304.41999999999996
358020   ,94565793.79999992
356500   ,133736131.26000017
358010   ,282676622.3800011
356501   ,5639273.25000001
499000   ,97473.09999999993
355000   ,12841.969999999996
284900   ,130736731.28000012
283200   ,2575.61
743000   ,19026.46000000002
358000   ,16267793.890000015
796000   ,186868.74
401000   ,85873.1
200500   ,10020875.47
241100   ,9824247.04
370700   ,34853.37000000001
671000   ,12240.0
315100   ,43580.0
720000   ,783.1299999999999
274000   ,19448.399999999998
370200   ,28383986.07999999
370500   ,1099718.53
501010   ,2002097.8399999896
330900   ,11340145.529999984
796009   ,430202.0500000001
200008   ,597843.4700000001
499009   ,223810.21000000002
212018   ,102.92
230018   ,3212.8500000000004
254908   ,17199.82
220009   ,2442612.8299999996
200009   ,106879870.81000005
254909   ,600000.0
340079   ,600000.0
241009   ,61023618.98000001
341009   ,61023618.98000001
240609   ,47797.06
340049   ,47797.06
231419   ,117600000.0
331419   ,117600000.0
230129   ,2525808.8200000008
330129   ,2525808.8200000008
230019   ,37815287.39999996
340029   ,37815287.39999996
330009   ,104437257.97999999
507000   ,74286840.68000013
776100   ,9613.62
427000   ,5889757.379999998
272800   ,279.33
356502   ,10495934.23
230120   ,1920482.6
372999   ,2405908.6999999885
781500   ,137585.88
252500   ,41529.82000000001
775500   ,137483.29999999996
371500   ,2694486.369999999
373200   ,5044089.040000001
373230   ,347980.20000000024
488600   ,31114.739999999998
493000   ,98702.77000000009
600000   ,1083298.0999999999
600800   ,79817.44000000002
603400   ,4521.770000000001
620000   ,3216804.09
620500   ,92645.0
620900   ,58600.440000000024
633000   ,22273.56000000001
640000   ,793423.44
640300   ,20676.34
661100   ,1767.529999999999
663600   ,1603.22
371000   ,20152497.069999788
310000   ,119509.60999999999
626000   ,279146.2500000001
807010   ,7933.13
840010   ,34632.03
781000   ,1002264.4800000003
775310   ,2826486.510000004
776310   ,172898.09000000005
220000   ,23105.930000000004
212000   ,25004.38
794600   ,16404.739999999998
611010   ,502095.75
798010   ,124800.0
498600   ,16331.160000000003
498610   ,3000.0
44000    ,21225.8
68000    ,22343.839999999997
68099    ,18781.760000000002
539000   ,855.5999999999998
538100   ,5450.76
701000   ,44612.29999999999
702000   ,22928.419999999987
702050   ,12618.590000000024
702200   ,39639.650000000016
702300   ,870.9999999999999
704000   ,49592.17999999999
706050   ,9390.88
10099    ,49592.18000000001
30499    ,409.65
35599    ,39230.00000000001
40099    ,17359.02
40399    ,929.73
43099    ,125.02
44099    ,17438.590000000004
45099    ,844.14
